Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,Time,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16
0,0,103.9460064,30.75066046,16,103.9525507,30.75675243,921.0410139,85.4241514656,178.3539,0.0,0.0,0.0,188.73753,0.0,60.410767,234.83986,0.0,102.610306,113.001755,0.0,268.6647,199.39273,158.51881,0.0
1,0,103.9460064,30.75066046,48,103.9564943,30.745080100000003,1179.207157,125.386768656,252.15654,0.0,0.0,0.0,220.93764,0.0,110.942345,375.2016,0.0,91.77916,167.66635,0.0,342.37592,382.49863,165.61609,0.0
2,0,103.9460064,30.75066046,64,103.94127590000001,30.75449343,620.9053755,53.61887423739999,101.59552,0.0,0.0,0.0,100.52113,0.0,55.447803,112.72481,0.0,80.101776,86.490204,0.0,165.78821,162.30322,111.13322,0.0
3,1,104.0625393,30.7390774,311,104.0600238,30.74269338,467.55229349999996,40.787166699400004,85.3144,0.0,0.0,0.0,88.80346,0.0,51.670906,110.150215,0.0,56.13855,84.0221,0.0,108.88825,100.84037,65.6069,0.0
4,1,104.0625393,30.7390774,1288,104.0620712,30.73250066,730.2875807999999,77.209144316,137.41612,0.0,0.0,0.0,156.48216,0.0,79.60222,174.15591,0.0,113.698555,125.81259,0.0,230.56691,238.29257,138.9446,0.0
5,2,104.0732399,30.76099259,18,104.0730086,30.74887448,1343.253385,90.649554179,173.74376,0.0,0.0,0.0,96.60144,0.0,68.57413,299.35986,0.0,138.13914,124.43535,0.0,205.68993,283.7866,153.68788,0.0
6,2,104.0732399,30.76099259,34,104.1146272,30.76027681,3962.0745770000003,445.56693195,715.82556,0.0,0.0,0.0,1124.3239,0.0,392.78055,1231.5626,0.0,600.75275,567.7695,0.0,1267.2716,1350.4874,699.17395,0.0
7,2,104.0732399,30.76099259,49,104.0507089,30.76141245,2157.0072370000003,215.64748429,434.18915,0.0,0.0,0.0,451.40845,0.0,201.50198,604.2076,0.0,261.17258,298.95444,0.0,624.5214,569.02637,374.53006,0.0
8,2,104.0732399,30.76099259,66,104.0737873,30.78668402,2847.9139440000004,170.17467357,295.8219,0.0,0.0,0.0,445.83206,0.0,147.64406,515.5465,0.0,166.80798,146.93301,0.0,583.70374,407.23303,399.43607,0.0
9,3,104.15082779999999,30.73841386,19,104.1588451,30.73807002,768.4620807,77.120375372,111.059494,0.0,0.0,0.0,296.21225,0.0,71.78236,264.3331,0.0,95.0627,77.52258,0.0,212.49155,183.29787,199.47964,0.0
10,3,104.15082779999999,30.73841386,51,104.13747009999999,30.77433248,4181.143453,342.927670268,572.63257,0.0,0.0,0.0,1009.7614,0.0,343.89304,1145.9127,0.0,510.83844,546.14386,0.0,771.79016,907.08813,684.3687,0.0
11,3,104.15082779999999,30.73841386,127,104.1462028,30.72511547,1538.935186,97.16184927219997,182.25194,0.0,0.0,0.0,203.05511,0.0,75.466995,299.79605,0.0,90.40311,153.80566,0.0,231.32297,305.04495,108.49155,0.0
12,3,104.15082779999999,30.73841386,742,104.129349,30.7231598,2662.134322,317.782392504,626.3866,0.0,0.0,0.0,792.4565,0.0,268.16245,829.8909,0.0,710.2177,419.0408,0.0,785.36633,811.9455,632.3999,0.0
13,4,103.9812278,30.70951601,408,103.98043759999999,30.705570299999998,443.815225,43.53500845000001,87.472534,0.0,0.0,0.0,91.11328,0.0,38.721565,124.35649,0.0,51.952274,60.741756,0.0,125.29154,113.875336,77.228355,0.0
14,4,103.9812278,30.70951601,655,103.9802912,30.71025208,121.2443022,19.5738751064,38.153145,0.0,0.0,0.0,42.986877,0.0,13.314468,54.04119,0.0,18.787292,34.622803,0.0,61.300316,48.083088,36.26759,0.0
15,5,104.0439712,30.686773100000003,195,104.0444437,30.68572405,124.76486129999999,19.2714677764,43.54744,0.0,0.0,0.0,54.53215,0.0,22.045128,73.777214,0.0,11.529456,15.056589,0.0,48.720444,40.493107,34.349377,0.0
16,5,104.0439712,30.686773100000003,620,104.04282309999999,30.68723173,121.15571259999999,16.04103907328,29.723597,0.0,0.0,0.0,39.513145,0.0,13.741521,44.119335,0.0,23.14318,24.809034,0.0,48.071598,38.91627,34.40403,0.0
17,6,104.10128780000001,30.71733224,726,104.1018715,30.718882399999995,180.6695447,27.603878268799996,80.50346,0.0,0.0,0.0,27.21538,0.0,11.059864,56.52808,0.0,38.621,88.17319,0.0,62.21096,66.766556,33.850414,0.0
18,6,104.10128780000001,30.71733224,901,104.1007402,30.71605867,150.57418810000001,14.686473954599997,30.539022,0.0,0.0,0.0,30.409332,0.0,12.536607,41.051533,0.0,18.417948,20.55061,0.0,41.61377,38.120476,26.471287,0.0
19,7,104.16422920000001,30.69574474,211,104.158776,30.69530501,524.5509496999999,58.194080179800004,104.53396,0.0,0.0,0.0,87.85722,0.0,42.98333,189.89531,0.0,45.89343,104.61994,0.0,170.31218,159.23575,125.74269,0.0
